title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
Driving Miss Daisy,1989,1980,77.4,56,81,20,73,18,PG,99,Comedy,Drama,Romance,Bruce Beresford,Morgan Freeman,Jessica Tandy,Dan Aykroyd,Patti LuPone,106593296,24,261927236,35,117088,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
In the Heat of the Night,1967,1960,77.35,57,76,24,79,12,Approved,110,Drama,Mystery,Thriller,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,24379978,64,222412553,40,83168,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
Chicago,2002,2000,76.95,58,81,20,72,19,PG-13,113,Comedy,Crime,Musical,Rob Marshall,Renée Zellweger,Catherine Zeta-Jones,Richard Gere,Taye Diggs,170687518,10,289096646,32,242407,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
Titanic,1997,1990,76.8,59,75,25,79,12,PG-13,194,Drama,Romance,,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,659325379,1,1251691233,3,1273272,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Terms of Endearment,1983,1980,76.75,60,79,21,74,17,PG,132,Comedy,Drama,,James L. Brooks,Shirley MacLaine,Debra Winger,Jack Nicholson,Danny DeVito,108423489,23,331693143,28,65115,Follows hard-to-please Aurora looking for love and her daughter's family problems.
Wings,1927,1920,76.65,61,78,22,75,16,PG-13,144,Drama,Romance,War,William A. Wellman,Clara Bow,Charles 'Buddy' Rogers,Richard Arlen,Jobyna Ralston,6587502,75,115357003,62,14402,"Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I."
A Beautiful Mind,2001,2000,76.5,62,72,28,82,9,PG-13,135,Biography,Drama,Mystery,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,170742341,9,293761667,30,982338,"A mathematical genius, <a href=""/name/nm1171285"">John Nash</a> made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
The Last Emperor,1987,1980,76.45,63,76,24,77,14,PG-13,163,Biography,Drama,History,Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,43984230,54,117975307,60,110906,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi."
Grand Hotel,1932,1930,76.3,64,79,21,73,18,Not,112,Drama,Romance,,Edmund Goulding,Greta Garbo,John Barrymore,Joan Crawford,Wallace Beery,2692300,81,59879110,76,20769,A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.
Dances with Wolves,1990,1990,75.6,65,72,28,80,11,PG-13,181,Adventure,Drama,Western,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,184208848,7,429444804,19,288729,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
CODA,2021,2020,75.6,65,72,28,80,11,PG-13,111,Comedy,Drama,Music,Sian Heder,Emilia Jones,Marlee Matlin,Troy Kotsur,Daniel Durant,0,85,0,86,162797,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
Gladiator,2000,2000,75.1,66,67,32,85,6,R,155,Action,Adventure,Drama,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,187705427,6,332136141,27,1609063,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Rocky,1976,1970,74.95,67,70,29,81,10,PG,120,Drama,Sport,,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,117235247,21,627795777,10,624946,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
Chariots of Fire,1981,1980,74.85,68,78,22,71,20,PG,125,Biography,Drama,Sport,Hugh Hudson,Ben Cross,Ian Charleson,Nicholas Farrell,Nigel Havers,58972904,40,197679250,46,65556,"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience."
Green Book,2018,2010,74.85,68,69,30,82,9,PG-13,130,Biography,Comedy,Drama,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,85080171,31,103241450,66,562797,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Gigi,1958,1950,74.8,69,82,19,66,23,G,115,Comedy,Musical,Romance,Vincente Minnelli,Leslie Caron,Maurice Chevalier,Louis Jourdan,Hermione Gingold,0,85,0,86,24358,"Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long."
Braveheart,1995,1990,74.75,70,68,31,83,8,R,178,Biography,Drama,History,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,75600000,33,151150393,58,1087000,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
A Man for All Seasons,1966,1960,74.25,71,72,28,77,14,G,120,Biography,Drama,History,Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern,28350000,62,266612500,34,36971,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
Oliver!,1968,1960,74,72,74,26,74,17,G,153,Drama,Family,Musical,Carol Reed,Mark Lester,Ron Moody,Shani Wallis,Oliver Reed,16800000,68,147096551,59,41233,"After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London."
Rain Man,1988,1980,71.75,73,65,34,80,11,R,133,Drama,,,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,178800000,8,460527134,15,544090,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
Tom Jones,1963,1960,71.15,74,77,23,64,25,Not,129,Adventure,Comedy,History,Tony Richardson,Albert Finney,Susannah York,George Devine,Rachel Kempson,37600000,59,374402614,22,14177,The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th-century England.
The Sound of Music,1965,1960,71.1,75,63,35,81,10,G,172,Biography,Drama,Family,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,163214286,11,1578774379,2,259132,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
The Greatest Show on Earth,1952,1950,71.05,76,76,24,65,24,Passed,152,Drama,Family,Romance,Cecil B. DeMille,James Stewart,Charlton Heston,Betty Hutton,Cornel Wilde,36000000,60,413932075,20,15943,"The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle."
Crash,2004,2000,70.95,77,66,33,77,14,R,112,Crime,Drama,Thriller,Paul Haggis,Don Cheadle,Sandra Bullock,Thandiwe Newton,Karina Arroyave,54580300,44,88039266,70,448121,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
Out of Africa,1985,1980,69.9,78,69,30,71,20,PG,161,Biography,Drama,Romance,Sydney Pollack,Meryl Streep,Robert Redford,Klaus Maria Brandauer,Michael Kitchen,87100000,30,246648420,37,85811,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
