title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
The Departed,2006,2000,85,26,85,16,85,6,R,151,Crime,Drama,Thriller,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,132384315,18,200086809,44,1414200,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Bridge on the River Kwai,1957,1950,84.85,27,88,13,81,10,PG,161,Adventure,Drama,War,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,44908000,50,486956142,12,232403,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Forrest Gump,1994,1990,84.7,28,82,19,88,3,PG-13,142,Drama,Romance,,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,330252182,3,679000268,8,2241197,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
The Artist,2011,2010,84.5,29,89,12,79,12,PG-13,100,Comedy,Drama,Romance,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,44671682,53,60522283,75,248117,"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic."
The King's Speech,2010,2010,84.4,30,88,13,80,11,R,118,Biography,Drama,History,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,138797449,14,193909136,48,705925,"The story of <a href=""/name/nm0454377"">King George VI</a>, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
It Happened One Night,1934,1930,84.3,31,87,14,81,10,Passed,105,Comedy,Romance,,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,4360000,79,99141194,68,111691,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
Rebecca,1940,1940,83.75,32,86,15,81,10,Approved,130,Drama,Mystery,Romance,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,4360000,79,94892285,69,146004,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Million Dollar Baby,2004,2000,83.75,32,86,15,81,10,PG-13,132,Drama,Sport,,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,100492203,27,162096210,54,718738,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
Unforgiven,1992,1990,83.65,33,85,16,82,9,R,130,Drama,Western,,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,101157447,26,219691191,41,434173,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
American Beauty,1999,1990,83.55,34,84,17,83,8,R,122,Drama,,,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,130096601,20,237937781,38,1206136,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
How Green Was My Valley,1941,1940,83.05,35,88,13,77,14,Passed,118,Drama,Family,,John Ford,Walter Pidgeon,Maureen O'Hara,Anna Lee,Donald Crisp,0,85,0,86,26337,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life."
The Sting,1973,1970,83,36,83,18,83,8,PG,129,Comedy,Crime,Drama,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,159600000,12,1095272972,4,278473,Two grifters team up to pull off the ultimate con.
Patton,1970,1970,82.85,37,86,15,79,12,GP,172,Biography,Drama,War,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,61700000,39,484535824,13,107582,"The World War II phase of the career of controversial American general <a href=""/name/nm0666567"">George S. Patton</a>."
