title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
Pulp Fiction,1994,1990,92.3,1,95,1,89,1,R,154,Crime,Drama,,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,107928762,1,221902117,2,2203989,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Chinatown,1974,1970,87.05,2,92,2,81,3,R,130,Drama,Mystery,Thriller,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,29200000,5,180471399,4,347766,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
When Harry Met Sally...,1989,1980,76.45,3,76,3,77,4,R,95,Comedy,Drama,Romance,Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,92823600,3,228091539,1,240911,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
Se7en,1995,1990,74.45,4,65,4,86,2,R,127,Crime,Drama,Mystery,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,100125643,2,200185586,3,1785736,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Spaceballs,1987,1980,57.25,5,46,5,71,5,PG,96,Adventure,Comedy,Sci-Fi,Mel Brooks,Mel Brooks,John Candy,Rick Moranis,Bill Pullman,38119483,4,102244775,5,205333,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.
