title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,critic_vs_ppl,critic_vs_ppl_bin,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,title_id,description
Double Indemnity,1944,1940,89.6,1,95,1,83,2,1.0,vhigh,Passed,107,Crime,Drama,Film-Noir,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr,5720000,5,99027500,3,166703,tt0036775,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Chinatown,1974,1970,87.05,2,92,2,81,3,2.0,high,R,130,Drama,Mystery,Thriller,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,23169837,2,143201812,1,348019,tt0071315,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Dune: Part Two,2024,2020,83.5,3,79,4,89,1,6.0,vlow,PG-13,166,Action,Adventure,Drama,Denis Villeneuve,Timothée Chalamet,Zendaya,Rebecca Ferguson,Javier Bardem,0,6,0,6,239715,tt15239678,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Dazed and Confused,1993,1990,79.3,4,82,3,76,5,3.0,avg,R,103,Comedy,,,Richard Linklater,Jason London,Wiley Wiggins,Matthew McConaughey,Rory Cochrane,7993039,4,16854525,5,198344,tt0106677,The adventures of high school and junior high students on the last day of school in May 1976.
Dune,2021,2020,76.7,5,74,5,80,4,5.0,vlow,PG-13,155,Action,Adventure,Drama,Denis Villeneuve,Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac,108327830,1,121798855,2,816036,tt1160419,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Body Double,1984,1980,68.55,6,69,6,68,6,4.0,low,R,114,Crime,Drama,Mystery,Brian De Palma,Craig Wasson,Melanie Griffith,Gregg Henry,Deborah Shelton,8801940,3,25812811,4,37793,tt0086984,A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.
