title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
Narcos,0,0,0.0,1,0,1,88,6,TV-MA,49,Biography,Crime,Drama,N/A,Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,0,1,0,1,466850,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
Narcos: Mexico,0,0,0.0,1,0,1,84,10,TV-MA,50,Crime,Drama,,N/A,Scoot McNairy,José María Yazpik,Alejandro Edda,Alfonso Dosal,0,1,0,1,92242,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.
Neon Genesis Evangelion,0,0,0.0,1,0,1,85,9,TV-MA,24,Animation,Action,Drama,N/A,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,0,1,0,1,83898,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
Parks and Recreation,0,0,0.0,1,0,1,86,8,TV-14,22,Comedy,,,N/A,Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,0,1,0,1,285948,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
Poker Face,0,0,0.0,1,0,1,78,16,TV-MA,58,Comedy,Crime,Drama,N/A,Natasha Lyonne,Benjamin Bratt,Simon Helberg,Pedro Hollywood,0,1,0,1,47023,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but investigate and solve.
Reservation Dogs,0,0,0.0,1,0,1,83,11,TV-MA,30,Comedy,Crime,,N/A,D'Pharaoh Woon-A-Tai,Devery Jacobs,Paulina Alexis,Lane Factor,0,1,0,1,23776,Comedy series about four Native American teenagers growing up on a reservation in eastern Oklahoma.
Seinfeld,0,0,0.0,1,0,1,89,5,TV-PG,22,Comedy,,,N/A,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,0,1,0,1,348851,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
Severance,0,0,0.0,1,0,1,87,7,TV-MA,55,Drama,Mystery,Sci-Fi,N/A,Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,0,1,0,1,194665,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
Silicon Valley,0,0,0.0,1,0,1,85,9,TV-MA,28,Comedy,,,N/A,Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,0,1,0,1,164714,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Solar Opposites,0,0,0.0,1,0,1,80,14,TV-MA,22,Animation,Adventure,Comedy,N/A,Thomas Middleditch,Sean Giambrone,Mary Mack,Sagan McMahan,0,1,0,1,30349,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet."
Squid Game,0,0,0.0,1,0,1,80,14,TV-MA,55,Action,Drama,Mystery,N/A,Lee Jung-jae,Park Hae-soo,Dylan Besseau,Yasushi Iwaki,0,1,0,1,533374,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake."
Station Eleven,0,0,0.0,1,0,1,76,17,TV-MA,507,Adventure,Drama,Fantasy,N/A,Mackenzie Davis,Himesh Patel,Matilda Lawler,David Wilmot,0,1,0,1,34289,"A post apocalyptic saga spanning multiple timelines, telling the stories of survivors of a devastating flu as they attempt to rebuild and reimagine the world anew while holding on to the best of what's been lost."
Succession,0,0,0.0,1,0,1,88,6,TV-MA,2,Comedy,Drama,,N/A,Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedman,0,1,0,1,266797,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
The Bear,0,0,0.0,1,0,1,86,8,TV-MA,35,Comedy,Drama,,N/A,Jeremy Allen White,Ayo Edebiri,Ebon Moss-Bachrach,Lionel Boyce,0,1,0,1,203507,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
The Deuce,0,0,0.0,1,0,1,81,13,TV-MA,1,Drama,,,N/A,James Franco,Maggie Gyllenhaal,Lawrence Gilliard Jr.,Margarita Levieva,0,1,0,1,31700,"A look at life in New York City during the 1970s and '80s, when porn and prostitution were rampant in Manhattan."
